learning_rate,trialJobId,layer_1,epochs,reward,activation,train_frac,dropout,preweight,intermediate,layer_2,batch_size,optimizer,test_frac,regularization
0.028670700651812,MMNpp,105,200,0.607622815438962,elu,0.7,0.314755404061078,6,"[0.5892857142857143,0.607622815438962]",17,30,adam,0.15,0.016553731618494
0.017288323901227,JIVEK,27,200,0.607467529907305,relu,0.7,0.272562383910628,4,"[0.5803571428571428,0.6074675299073051]",88,10,SGD,0.15,0.050916271946876
0.001563638966943,hF35a,134,200,0.607281955621322,tanh,0.7,0.367471096546762,3,"[0.5892857142857143,0.6072819556213224]",178,10,adam,0.15,0.021627379301619
0.012546656991228,Hxwds,29,200,0.607224757879505,tanh,0.7,0.39015453960448,10,"[0.5994047619047619,0.6072247578795051]",122,50,SGD,0.15,0.005742080311543
0.041848785298404,OvHjW,97,200,0.606874112459389,elu,0.7,0.225875424226657,5,"[0.5892857142857143,0.6068741124593889]",142,100,adam,0.15,0.010420317139172
0.031551500624076,JVEOQ,111,200,0.606246058578684,elu,0.7,0.362022815224949,6,"[0.5565476190476191,0.6062460585786843]",95,30,adam,0.15,0.011484550474358
0.000270538725251,cj5nB,118,200,0.605663461984559,tanh,0.7,0.244746273853112,5,"[0.5988095238095239,0.6056634619845591]",72,50,adam,0.15,0.095003621115518
0.001482247898648,kos5Y,58,200,0.605636310746498,relu,0.7,0.304919126765535,2,"[0.5892857142857143,0.6056363107464977]",95,30,adam,0.15,0.017569456499787
0.007389643740044,CGWmZ,101,200,0.605459503957068,relu,0.7,0.347230658718974,5,"[0.5934523809523808,0.6054595039570675]",48,10,adam,0.15,0.005490683359576
0.051698652782958,EbdNf,115,200,0.605220567880427,elu,0.7,0.305468222354668,5,"[0.5767857142857143,0.6052205678804273]",93,5,adam,0.15,0.014715354974501
0.003078399684827,kQ3di,55,200,0.605214412906391,relu,0.7,0.161385689861959,2,"[0.5892857142857143,0.6052144129063906]",46,10,adam,0.15,0.010856973684779
0.016359211025722,QUIjK,77,200,0.605210186102356,tanh,0.7,0.339164922884177,3,"[0.531547619047619,0.6052101861023556]",112,70,adam,0.15,0.066923399108703
